Block	Density	Rep	Life	Sex	Length	Status			
4	Med	4	36	M	4.25	1			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	40	F	4.11	1			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	4	NA	NA	NA	0			
4	Med	5	43	M	4.17	1			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	47	M	4.28	1			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	47	F	4.31	1			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Med	5	NA	NA	NA	0			
4	Low	1	NA	NA	NA	0			
4	Low	3	NA	NA	NA	0			
4	Low	3	50	M	4.24	1			
4	Low	3	NA	NA	NA	0			
4	Low	3	26	F	4.21	1			
4	Low	3	50	F	4.07	1			
4	Low	4	NA	NA	NA	0			
4	Low	4	NA	NA	NA	0			
4	Low	4	NA	NA	NA	0			
4	Low	4	NA	NA	NA	0			
4	Low	4	NA	NA	NA	0			
4	Low	5	NA	NA	NA	0			
4	Low	5	NA	NA	NA	0			
4	Low	5	NA	NA	NA	0			
4	Low	6	45	M	4.11	1			
4	Low	6	NA	NA	NA	0			
4	Low	6	NA	NA	NA	0			
4	Low	6	NA	NA	NA	0			
4	Low	7	NA	NA	NA	0			
4	Low	7	NA	NA	NA	0			
4	Low	7	NA	NA	NA	0			
4	Low	7	NA	NA	NA	0			
4	Low	7	47	M	4.02	1			
4	Low	8	NA	NA	NA	0			
4	Low	8	NA	NA	NA	0			
4	Low	8	NA	NA	NA	0			
4	Low	8	NA	NA	NA	0			
4	Low	9	NA	NA	NA	0			
4	Low	9	NA	NA	NA	0			
4	Low	10	NA	NA	NA	0			
4	Low	10	NA	NA	NA	0			
4	Low	10	NA	NA	NA	0			
4	Low	11	NA	NA	NA	0			
4	Low	11	NA	NA	NA	0			
4	Low	11	31	F	4.17	1			
4	Low	11	5	F	3.55	1			
4	Low	11	NA	NA	NA	0			
4	Low	11	NA	NA	NA	0			
4	Low	11	NA	NA	NA	0			
4	Low	12	NA	NA	NA	0			
4	Low	12	NA	NA	NA	0			
4	Low	12	NA	NA	NA	0			
4	Low	12	NA	NA	NA	0			
4	Low	12	NA	NA	NA	0			
4	Low	13	NA	NA	NA	0			
4	Low	13	NA	NA	NA	0			
4	Low	13	NA	NA	NA	0			
4	Low	13	NA	NA	NA	0			
